Recep,Ligand
CCR1,CCL3
CCR5,CCL3
CCR1,CCL5
CCR1,CCL4
CCR5,CCL4
NMUR2,NMU
CCR4,CCL22
CXCR6,CXCL16
CCR4,CCL17
CCR3,CXCL11
CXCR3,CCL20
CCR3,CXCL9
CCR3,CXCL10
CCR3,CCL5
CCR6,CCL20
CCR5,CCL5
CXCR3,CCL5
CXCR3,CXCL11
CXCR3,CXCL10
CXCR3,CXCL9
APLNR,APELA
APLNR,APLN
CCR1,CCL8
CCR5,CCL8
XCR1,XCL2
CCR3,CCL8
XCR1,XCL1
KISS1R,KISS1
CALCR,ADM2
NPBWR1,NPW
CCR8,CCL1
CALCR,CALCB
NPBWR1,NPB
MCHR2,PMCH
CALCR,IAPP
UTS2R,UTS2
NTSR1,NTS
CCR6,DEFB4A
PTH2R,PTHLH
ACKR3,CXCL11
CCR3,CCL28
GALR2,GAL
GALR3,GAL
CCR7,CCL21
CXCR3,CCL19
CCRL2,CCL19
CCR7,CCL19
MCHR1,PMCH
GPR37L1,PSAP
CX3CR1,CX3CL1
CCR9,CCL25
CCR1,CCL15
CCR2,CCL7
CCR2,CCL11
CCR2,CCL8
C3AR1,C3
FPR3,ANXA1
CCR2,CCL2
CCR2,CCL13
CCR2,CCL26
CCR2,CCL24
CCR3,CCL13
CCR1,CCL13
CCR5,CCL13
CXCR3,CCL13
CCR3,CCL26
CCR3,CCL15
CCR3,CCL24
CXCR5,CXCL13
CCR1,CCL7
CCR3,CCL7
CCR5,CCL7
CXCR3,CCL7
FPR3,MT-RNR2
OPRL1,PNOC
CCR3,CCL11
CXCR3,CCL11
CCR5,CCL11
GLP2R,GCG
FSHR,CGA
LHCGR,CGA
GNRHR,GNRH1
GNRHR,GNRH2
MC3R,POMC
CRHR2,UCN
CCR10,CCL27
SCTR,VIP
MC1R,POMC
VIPR1,VIP
VIPR1,ADCYAP1
AVPR2,OXT
AVPR2,AVP
PTH1R,PTH2
NMUR1,NMS
RXFP2,INSL3
CCR10,CCL28
HCRTR1,HCRT
UTS2R,UTS2B
CRHR2,UCN2
PROKR1,PROK2
CRHR2,CRH
RXFP2,RLN3
RXFP1,RLN3
SSTR2,CORT
SSTR4,CORT
SSTR3,CORT
ADCYAP1R1,ADCYAP1
ADCYAP1R1,VIP
VIPR2,ADCYAP1
VIPR2,VIP
HRH4,CCL16
AVPR1A,OXT
ACKR3,CXCL12
AVPR1A,AVP
MRGPRX2,ADM
RAMP3,ADM
CALCRL,ADM
RAMP2,ADM
EDNRB,EDN3
ACKR4,CCL21
CMKLR1,RARRES2
TACR2,TAC1
TACR2,TAC3
TACR1,TAC1
TACR1,TAC3
NPY1R,NPY
NPY5R,NPY
RAMP1,ADM
C5AR2,C5
CCR2,CCL16
NPY2R,NPY
NPY4R,NPY
SSTR2,SST
SSTR4,SST
OPRK1,POMC
OPRM1,PDYN
OPRK1,PDYN
CCKAR,CCK
GALR2,SPX
NPY2R,PYY
CCKBR,CCK
GCGR,GCG
SSTR1,SST
AVPR1B,OXT
NPY4R,PYY
LGR4,RSPO4
LGR4,RSPO1
LGR4,RSPO3
GIPR,GIP
CCKBR,GAST
AVPR1B,AVP
TACR3,TAC1
TACR3,TAC3
MRGPRX1,PENK
OPRM1,PENK
NPY1R,PYY
CRHR1,UCN
CRHR1,CRH
LGR6,RSPO1
LGR6,RSPO3
OXTR,OXT
LGR5,RSPO1
LGR5,RSPO3
CXCR2,CXCL8
CXCR2,CXCL1
CXCR2,CXCL5
CXCR2,CXCL6
CXCR2,CXCL2
CXCR2,CXCL3
CXCR2,PPBP
MC5R,AGRP
MC3R,AGRP
MC4R,AGRP
NPFFR1,NPFF
NPFFR2,NPFF
CRHR1,UCN2
CXCR1,CXCL6
CXCR1,CXCL8
CALCR,ADM
NPY4R,PPY
LGR6,RSPO2
LGR5,RSPO2
SSTR3,SST
BDKRB1,KNG1
OPRD1,PENK
MC4R,POMC
CRHR2,UCN3
OPRD1,POMC
NTSR2,NTS
CALCR,CALCA
RXFP2,RLN2
RXFP2,RLN1
NMBR,NMB
RXFP3,RLN3
RXFP4,RLN3
RXFP3,INSL5
RXFP4,INSL5
OPRD1,PDYN
NPFFR1,NPVF
NPBWR2,NPB
VIPR1,GHRH
HCRTR2,HCRT
RXFP1,RLN2
RXFP1,RLN1
GALR1,GAL
SSTR5,SST
GHRHR,GHRH
SSTR5,CORT
SCTR,SCT
FPR3,HEBP1
GPR37,PSAP
GRPR,GRP
GRPR,NMB
PRLHR,NPY
TSHR,CGA
PRLHR,PTHLH
RAMP1,CALCB
RAMP1,IAPP
RAMP1,ADM2
FZD6,WNT4
FZD6,WNT5A
FZD6,WNT3A
GPR75,CCL5
ACKR4,CCL25
ACKR4,CCL19
RAMP3,CALCB
CCR5,CCL16
RAMP3,ADM2
AGTR2,AGT
CALCRL,CALCB
MLNR,MLN
LGR4,RSPO2
RAMP2,CALCB
C5AR1,RPS19
CXCR4,CXCL12
CXCR3,CXCL12
BDKRB2,KNG1
RAMP2,ADM2
CALCRL,ADM2
CCR3,CCL2
CCR5,CCL2
LGR6,RSPO4
LGR5,RSPO4
GALR3,SPX
PROKR2,PROK2
NPBWR2,NPW
RAMP2,IAPP
NPY5R,PPY
NMUR2,NMS
RAMP1,CALCA
MC5R,POMC
AGTR1,AGT
RAMP3,CALCA
PRLHR,PRLH
PTH1R,PTHLH
QRFPR,QRFP
GHSR,GHRL
SSTR1,CORT
CALCRL,CALCA
RAMP2,CALCA
PROKR2,PROK1
GLP1R,GCG
PROKR1,PROK1
OXTR,AVP
FPR2,SAA1
FPR2,MT-RNR2
FPR2,CAMP
C5AR1,C5
CCR1,CCL14
CCR5,CCL14
CCR1,CCL23
FPR2,ANXA1
GPR1,RARRES2
NMUR1,NMU
EDNRA,EDN1
EDNRA,EDN2